date,time,hour,system,treatment,assay,distance,length
6/13/22,1730,24.5,5,on,a,1,0.4
6/13/22,1730,24.5,5,on,a,2,3
6/13/22,1730,24.5,5,on,a,3,3
6/13/22,1730,24.5,5,on,a,4,0.6
6/13/22,1730,24.5,5,on,a,5,3
6/13/22,1730,24.5,5,on,b,1,1.2
6/13/22,1730,24.5,5,on,b,2,3
6/13/22,1730,24.5,5,on,b,3,3
6/13/22,1730,24.5,5,on,b,4,3
6/13/22,1730,24.5,5,on,b,5,2
6/13/22,1730,24.5,5,on,c,1,2.8
6/13/22,1730,24.5,5,on,c,2,3
6/13/22,1730,24.5,5,on,c,3,2.9
6/13/22,1730,24.5,5,on,c,4,0
6/13/22,1730,24.5,5,on,c,5,2.4
6/13/22,1730,24.5,5,on,d,1,3
6/13/22,1730,24.5,5,on,d,2,3
6/13/22,1730,24.5,5,on,d,3,2.8
6/13/22,1730,24.5,5,on,d,4,3
6/13/22,1730,24.5,5,on,d,5,3
6/13/22,1730,24.5,6,tc,a,1,2
6/13/22,1730,24.5,6,tc,a,2,0
6/13/22,1730,24.5,6,tc,a,3,0
6/13/22,1730,24.5,6,tc,a,4,3
6/13/22,1730,24.5,6,tc,a,5,3
6/13/22,1730,24.5,6,tc,b,1,0
6/13/22,1730,24.5,6,tc,b,2,0
6/13/22,1730,24.5,6,tc,b,3,0
6/13/22,1730,24.5,6,tc,b,4,0
6/13/22,1730,24.5,6,tc,b,5,3
6/13/22,1730,24.5,6,tc,c,1,0
6/13/22,1730,24.5,6,tc,c,2,1
6/13/22,1730,24.5,6,tc,c,3,0
6/13/22,1730,24.5,6,tc,c,4,1.6
6/13/22,1730,24.5,6,tc,c,5,2
6/13/22,1730,24.5,6,tc,d,1,1.2
6/13/22,1730,24.5,6,tc,d,2,0
6/13/22,1730,24.5,6,tc,d,3,2.2
6/13/22,1730,24.5,6,tc,d,4,1
6/13/22,1730,24.5,6,tc,d,5,3
6/13/22,1730,24.5,7,th,a,1,3
6/13/22,1730,24.5,7,th,a,2,3
6/13/22,1730,24.5,7,th,a,3,3
6/13/22,1730,24.5,7,th,a,4,3
6/13/22,1730,24.5,7,th,a,5,3
6/13/22,1730,24.5,7,th,b,1,3
6/13/22,1730,24.5,7,th,b,2,3
6/13/22,1730,24.5,7,th,b,3,3
6/13/22,1730,24.5,7,th,b,4,3
6/13/22,1730,24.5,7,th,b,5,3
6/13/22,1730,24.5,7,th,c,1,3
6/13/22,1730,24.5,7,th,c,2,3
6/13/22,1730,24.5,7,th,c,3,3
6/13/22,1730,24.5,7,th,c,4,3
6/13/22,1730,24.5,7,th,c,5,3
6/13/22,1730,24.5,7,th,d,1,2
6/13/22,1730,24.5,7,th,d,2,3
6/13/22,1730,24.5,7,th,d,3,2.2
6/13/22,1730,24.5,7,th,d,4,3
6/13/22,1730,24.5,7,th,d,5,3
6/13/22,1730,24.5,8,tw,a,1,3
6/13/22,1730,24.5,8,tw,a,2,3
6/13/22,1730,24.5,8,tw,a,3,3
6/13/22,1730,24.5,8,tw,a,4,3
6/13/22,1730,24.5,8,tw,a,5,3
6/13/22,1730,24.5,8,tw,b,1,2.8
6/13/22,1730,24.5,8,tw,b,2,3
6/13/22,1730,24.5,8,tw,b,3,3
6/13/22,1730,24.5,8,tw,b,4,3
6/13/22,1730,24.5,8,tw,b,5,3
6/13/22,1730,24.5,8,tw,c,1,3
6/13/22,1730,24.5,8,tw,c,2,3
6/13/22,1730,24.5,8,tw,c,3,3
6/13/22,1730,24.5,8,tw,c,4,3
6/13/22,1730,24.5,8,tw,c,5,3
6/13/22,1730,24.5,8,tw,d,1,3
6/13/22,1730,24.5,8,tw,d,2,3
6/13/22,1730,24.5,8,tw,d,3,3
6/13/22,1730,24.5,8,tw,d,4,3
6/13/22,1730,24.5,8,tw,d,5,3
6/13/22,1730,24.5,9,tc,a,1,3
6/13/22,1730,24.5,9,tc,a,2,3
6/13/22,1730,24.5,9,tc,a,3,3
